Date,Forecast,Lower Bound,Upper Bound
2016-01-01,2357.4916264587932,1566.7123304616698,3148.2709224559167
2016-01-02,2291.8109405949976,1495.3263364293139,3088.2955447606814
2016-01-03,2284.08688004388,1487.4935707622167,3080.680189325543
2016-01-04,2283.1785291243864,1486.580178257593,3079.77687999118
2016-01-05,2283.071706891769,1486.4728701853355,3079.670543598202
2016-01-06,2283.0591445778696,1486.460252207231,3079.658036948508
2016-01-07,2283.0576672474804,1486.4587683411892,3079.6565661537716
2016-01-08,2283.057493513159,1486.4585938285484,3079.65639319777
2016-01-09,2283.0574730819712,1486.4585732958253,3079.656372868117
2016-01-10,2283.05747067926,1486.4585708711652,3079.6563704873547
2016-01-11,2283.057470396701,1486.4585705760164,3079.6563702173853
2016-01-12,2283.057470363472,1486.4585705312984,3079.6563701956456
2016-01-13,2283.0574703595644,1486.4585705160312,3079.6563702030976
2016-01-14,2283.0574703591046,1486.4585705042268,3079.6563702139824
2016-01-15,2283.0574703590505,1486.4585704928302,3079.6563702252706
2016-01-16,2283.057470359044,1486.4585704814813,3079.656370236607
2016-01-17,2283.0574703590432,1486.4585704701378,3079.656370247949
2016-01-18,2283.0574703590432,1486.4585704587953,3079.656370259291
2016-01-19,2283.0574703590432,1486.458570447453,3079.6563702706335
2016-01-20,2283.0574703590432,1486.4585704361102,3079.6563702819763
2016-01-21,2283.0574703590432,1486.458570424768,3079.6563702933186
2016-01-22,2283.0574703590432,1486.4585704134252,3079.6563703046613
2016-01-23,2283.0574703590432,1486.4585704020828,3079.6563703160036
2016-01-24,2283.0574703590432,1486.4585703907403,3079.656370327346
2016-01-25,2283.0574703590432,1486.4585703793978,3079.6563703386887
2016-01-26,2283.0574703590432,1486.4585703680552,3079.6563703500315
2016-01-27,2283.0574703590432,1486.4585703567127,3079.656370361374
2016-01-28,2283.0574703590432,1486.45857034537,3079.6563703727165
2016-01-29,2283.0574703590432,1486.4585703340276,3079.656370384059
2016-01-30,2283.0574703590432,1486.458570322685,3079.6563703954016
